sample_id,label,latitude,longitude,elevation_m,slope_deg,aspect_deg,rainfall_24h_mm,rainfall_72h_mm,rainfall_surround_max_mm,soil_clay_pct,soil_sand_pct,soil_silt_pct,soil_bulk_density,soil_ph,soil_organic_carbon,lc_tree_cover,lc_builtup,saturation_pct,cohesion_kpa,split_target,state,district,corridor,event_date,geology,trigger,sample_type,data_pedigree
NON-LS-BG-0079,0,27.3247,88.3166,1082.4,9.16,31.3,2.43,8.48,4.1,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,38.6,9.6,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2018-04-10,Disang Shale,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0080,0,27.326,88.4934,1742.5,40.62,323.9,35.34,71.04,45.94,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,55.0,21.1,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2019-07-12,Granite Gneiss,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0081,0,27.3753,88.3222,1337.1,43.49,55.0,5.77,28.07,13.57,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,41.8,10.7,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2022-09-15,Schist & Phyllite,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0082,0,27.1222,88.2803,826.0,33.76,250.9,6.02,41.53,20.07,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,45.5,7.1,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2019-09-15,Disang Shale,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0083,0,27.6481,88.6483,1464.6,14.93,295.5,10.52,18.56,13.68,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,42.4,19.5,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2022-07-19,Granite Gneiss,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0084,0,27.2836,88.6193,856.3,26.52,87.3,11.34,31.7,15.32,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,47.0,10.2,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2022-08-05,Disang Shale,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0085,0,27.152,88.4906,773.2,31.63,163.5,36.25,121.62,58.78,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,63.7,10.8,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2022-06-18,Disang Shale,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0086,0,27.334,88.4745,850.8,45.92,273.7,48.66,97.12,63.26,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,58.1,9.1,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2020-06-25,Schist & Phyllite,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0087,0,27.3669,88.4358,1195.4,7.54,147.1,0.0,0.0,0.0,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,36.5,10.7,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2021-11-05,Schist & Phyllite,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0088,0,27.6031,88.6955,856.2,7.93,303.1,0.0,0.0,0.0,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,36.0,18.2,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2021-11-05,Quartzite Schist,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0089,0,27.0478,88.5976,850.7,5.13,228.2,0.44,27.08,13.09,26.5,46.0,27.5,1.36,5.3,23.5,1.0,0.0,43.6,11.0,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2021-04-20,Schist & Phyllite,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0090,0,27.5855,88.3581,1484.8,29.91,207.9,9.96,29.51,14.26,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,46.9,10.0,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2021-08-14,Schist & Phyllite,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0091,0,27.1988,88.3957,1392.2,35.4,119.8,67.38,159.53,87.59,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,75.4,10.6,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2019-07-12,Disang Shale,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0092,0,27.4614,88.5469,793.4,14.42,283.9,0.19,24.97,12.07,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,43.6,19.3,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2021-04-20,Quartzite Schist,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0093,0,27.0562,88.3559,927.5,12.67,315.6,0.47,0.94,0.61,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,39.8,20.6,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2019-03-25,Granite Gneiss,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0094,0,27.1895,88.6106,701.4,46.42,54.0,7.94,56.17,27.15,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,49.6,18.4,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2019-09-15,Quartzite Schist,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0095,0,27.454,88.5206,1658.1,25.57,345.3,14.35,44.08,21.31,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,49.2,8.0,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2020-08-11,Disang Shale,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0096,0,27.1898,88.3137,1214.7,6.74,182.1,3.26,3.86,4.24,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,41.4,19.0,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2020-04-15,Quartzite Schist,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0097,0,27.5605,88.6661,1446.8,12.06,207.5,4.04,4.04,5.25,26.5,46.0,27.5,1.36,5.3,23.5,1.0,0.0,36.6,21.3,TRAIN,Sikkim,Kalimpong,Sikkim & NH-10 Corridor,2018-02-14,Quartzite Schist,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0098,0,27.3747,88.4121,1727.8,38.81,354.5,2.95,29.42,14.22,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,42.4,7.7,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2019-06-28,Disang Shale,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0099,0,27.5372,88.2623,2030.2,14.31,19.7,0.36,0.49,0.47,34.1,32.4,33.5,1.28,5.8,29.1,0.0,0.0,38.7,21.5,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2022-10-25,Quartzite Schist,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0100,0,27.1846,88.6014,527.6,7.34,124.7,0.0,0.0,0.0,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,36.2,8.2,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2019-12-05,Schist & Phyllite,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0101,0,27.1929,88.5688,1261.6,46.85,59.6,13.67,68.68,33.2,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,54.8,10.9,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2019-08-08,Disang Shale,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0102,0,27.4963,88.3388,881.0,5.76,53.5,0.0,0.0,0.0,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,38.0,7.6,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2020-11-12,Disang Shale,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0103,0,27.2402,88.2427,2154.9,9.53,75.6,16.2,26.18,21.06,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,40.9,18.9,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2022-07-19,Quartzite Schist,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0104,0,27.5786,88.3026,832.7,3.48,163.2,11.66,19.18,15.16,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,40.0,20.7,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2022-07-19,Granite Gneiss,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0105,0,27.3171,88.4204,1177.3,30.3,271.2,8.87,48.15,23.27,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,46.3,9.0,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2019-08-08,Schist & Phyllite,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0106,0,27.1406,88.6487,1383.6,13.41,146.9,0.0,0.8,0.39,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,39.4,20.3,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2022-01-15,Quartzite Schist,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0107,0,27.3362,88.3269,841.6,9.57,235.0,11.66,19.18,15.16,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,40.4,10.2,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2022-07-19,Disang Shale,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0108,0,27.1167,88.2497,918.8,37.62,50.8,5.74,33.61,16.24,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,46.7,21.0,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2019-06-28,Quartzite Schist,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0109,0,27.2345,88.362,662.6,11.23,315.5,0.0,0.73,0.35,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,36.0,7.5,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2022-01-15,Disang Shale,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0110,0,27.4,88.552,2013.4,11.12,212.5,0.0,0.14,0.07,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,40.6,19.6,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2018-11-20,Granite Gneiss,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0111,0,27.1376,88.5121,1191.4,45.91,350.8,16.44,42.6,21.37,18.2,58.6,23.2,1.48,5.1,18.5,0.0,0.0,46.2,9.0,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2022-08-05,Schist & Phyllite,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0112,0,27.4958,88.2571,1447.9,28.06,267.0,11.75,42.99,20.78,28.5,44.2,27.3,1.34,5.4,24.2,0.0,0.0,48.5,21.8,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2021-07-28,Granite Gneiss,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0113,0,27.4392,88.4013,877.6,11.39,248.8,6.21,21.38,10.33,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,41.4,21.7,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2021-06-25,Granite Gneiss,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0114,0,27.4282,88.6113,1388.6,37.04,234.5,4.82,32.26,15.59,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,42.2,20.2,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2019-06-28,Granite Gneiss,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0115,0,27.5308,88.3032,538.0,4.78,90.3,0.77,1.32,1.0,28.5,44.2,27.3,1.34,5.4,24.2,0.0,0.0,39.1,7.4,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2020-04-15,Disang Shale,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0116,0,27.3513,88.6191,1183.2,13.02,29.8,4.04,4.04,5.25,18.2,58.6,23.2,1.48,5.1,18.5,1.0,0.0,36.7,19.7,TRAIN,Sikkim,North Sikkim,Sikkim & NH-10 Corridor,2018-02-14,Quartzite Schist,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0117,0,27.3722,88.3227,1158.4,6.75,203.9,0.77,1.32,1.0,24.0,48.0,28.0,1.39,5.2,22.0,1.0,0.0,41.1,9.4,TRAIN,Sikkim,West Sikkim,Sikkim & NH-10 Corridor,2020-04-15,Schist & Phyllite,None (Stable Terrain),BACKGROUND_STABLE,REAL_OBSERVATION
NON-LS-BG-0118,0,27.2832,88.5318,2056.4,42.26,58.3,11.34,31.7,15.32,28.5,44.2,27.3,1.34,5.4,24.2,0.0,0.0,47.6,21.2,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2022-08-05,Granite Gneiss,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0119,0,27.5391,88.6232,2086.6,40.39,27.0,48.66,97.12,63.26,28.5,44.2,27.3,1.34,5.4,24.2,1.0,0.0,59.2,21.1,TRAIN,Sikkim,East Sikkim,Sikkim & NH-10 Corridor,2020-06-25,Granite Gneiss,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
NON-LS-BG-0120,0,27.4597,88.4477,1649.0,35.76,250.1,25.65,52.33,33.34,34.1,32.4,33.5,1.28,5.8,29.1,1.0,0.0,46.6,7.4,TRAIN,Sikkim,South Sikkim,Sikkim & NH-10 Corridor,2020-09-22,Disang Shale,None (Stable Steep Terrain),STEEP_STABLE,REAL_OBSERVATION
LS-POS-0121,1,25.2589,92.0607,1211.0,34.01,231.5,116.96,215.25,152.05,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,87.4,17.2,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2020-07-10,Sandstone & Shale,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0122,1,25.3585,91.5824,1808.2,48.68,231.9,59.09,265.17,128.17,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,94.4,16.1,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2019-06-28,Sandstone & Shale,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0123,1,25.4897,91.7372,1339.4,36.87,56.9,65.42,164.41,85.05,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,74.8,17.5,TRAIN,Meghalaya,West Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2021-08-14,Sandstone & Shale,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0124,1,25.3853,92.4494,1405.8,42.41,125.3,16.02,22.16,20.83,35.0,30.0,35.0,1.24,5.0,34.0,0.0,1.0,43.5,15.7,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2019-08-08,Limestone Karst,Multi-Day Monsoonal Flush,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0125,1,25.5198,92.4225,1794.3,42.43,219.0,75.28,134.17,97.86,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,66.7,8.7,TRAIN,Meghalaya,West Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2020-07-10,Silty Clay Loam Bedrock,Multi-Day Monsoonal Flush,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0126,1,25.4101,91.8465,1410.7,42.58,199.6,92.41,145.69,120.13,35.0,30.0,35.0,1.24,5.0,34.0,0.0,1.0,71.0,17.5,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2020-09-22,Sandstone & Shale,Multi-Day Monsoonal Flush,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0127,1,25.4716,92.0115,1511.7,48.23,51.6,30.97,57.64,40.26,38.2,26.5,35.3,1.22,4.8,38.4,1.0,0.0,50.4,15.0,TRAIN,Meghalaya,East Khasi Hills,Meghalaya Southern Escarpment & NH-6,2018-07-22,Sandstone & Shale,Escarpment Undercutting,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0128,1,25.498,91.5202,1724.7,43.64,59.2,28.24,60.89,36.71,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,49.8,10.0,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2022-08-05,Silty Clay Loam Bedrock,Multi-Day Monsoonal Flush,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0129,1,25.1854,91.5357,1329.8,44.78,186.1,16.28,34.11,21.16,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,47.4,14.4,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2019-08-08,Sandstone & Shale,Escarpment Undercutting,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0130,1,25.4429,91.5032,1317.3,38.53,49.8,6.75,17.09,8.78,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,39.2,16.4,TRAIN,Meghalaya,West Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2021-09-02,Limestone Karst,Escarpment Undercutting,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0131,1,25.5451,91.9064,1234.3,46.95,69.1,59.09,265.17,128.17,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,93.9,17.3,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2019-06-28,Limestone Karst,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0132,1,25.317,92.3352,1794.7,42.28,62.5,13.29,39.88,19.28,38.2,26.5,35.3,1.22,4.8,38.4,1.0,0.0,45.7,14.6,TRAIN,Meghalaya,East Khasi Hills,Meghalaya Southern Escarpment & NH-6,2022-08-05,Limestone Karst,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0133,1,25.3106,92.2959,1080.6,50.27,95.3,51.23,116.39,66.6,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,66.1,14.7,TRAIN,Meghalaya,West Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2020-06-25,Limestone Karst,Multi-Day Monsoonal Flush,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0134,1,25.4618,91.8326,907.8,53.32,92.0,52.16,230.66,111.49,38.2,26.5,35.3,1.22,4.8,38.4,1.0,0.0,87.4,14.6,TRAIN,Meghalaya,East Khasi Hills,Meghalaya Southern Escarpment & NH-6,2022-05-18,Sandstone & Shale,Multi-Day Monsoonal Flush,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0135,1,25.3085,92.2203,1546.0,35.39,54.4,36.29,107.09,51.76,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,59.3,14.1,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2021-08-14,Limestone Karst,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0136,1,25.508,92.3171,1307.4,40.61,277.8,18.12,35.47,23.56,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,43.1,14.7,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2018-07-22,Sandstone & Shale,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0137,1,25.4738,92.1225,1400.9,33.91,178.9,6.52,16.73,8.48,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,39.0,16.4,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2021-09-02,Limestone Karst,Multi-Day Monsoonal Flush,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0138,1,25.1824,91.7092,1533.3,33.67,267.7,33.53,114.16,55.18,38.2,26.5,35.3,1.22,4.8,38.4,1.0,0.0,64.2,15.6,TRAIN,Meghalaya,East Khasi Hills,Meghalaya Southern Escarpment & NH-6,2022-07-19,Limestone Karst,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0139,1,25.2891,92.1441,1415.7,37.87,236.3,6.52,16.73,8.48,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,40.6,9.0,TRAIN,Meghalaya,West Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2021-09-02,Silty Clay Loam Bedrock,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0140,1,25.4848,92.1626,1530.1,45.61,280.4,28.41,94.62,45.73,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,61.1,10.4,TRAIN,Meghalaya,West Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2021-06-25,Silty Clay Loam Bedrock,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0141,1,25.1617,92.2845,978.9,39.37,195.2,14.25,76.42,36.94,35.0,30.0,35.0,1.24,5.0,34.0,0.0,1.0,52.1,7.7,TRAIN,Meghalaya,West Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2018-09-02,Silty Clay Loam Bedrock,Multi-Day Monsoonal Flush,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0142,1,25.4527,91.7458,1043.1,33.85,115.1,12.61,134.6,65.06,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,66.0,15.0,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2019-09-15,Sandstone & Shale,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0143,1,25.4036,92.013,1629.8,34.35,137.3,30.97,57.64,40.26,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,51.1,8.7,TRAIN,Meghalaya,West Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2018-07-22,Silty Clay Loam Bedrock,Escarpment Undercutting,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0144,1,25.403,92.3854,952.5,52.62,202.2,28.63,156.13,75.46,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,69.6,8.5,TRAIN,Meghalaya,West Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2022-05-18,Silty Clay Loam Bedrock,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0145,1,25.2884,92.0899,895.7,51.17,249.7,26.77,59.78,34.8,35.0,30.0,35.0,1.24,5.0,34.0,0.0,1.0,51.3,14.4,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2022-08-05,Sandstone & Shale,Multi-Day Monsoonal Flush,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0146,1,25.1598,91.521,1173.6,42.75,118.9,47.23,70.61,61.4,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,55.5,7.2,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2018-07-22,Silty Clay Loam Bedrock,Escarpment Undercutting,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0147,1,25.5488,91.9049,1301.4,35.6,271.8,26.77,59.78,34.8,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,53.7,14.4,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2022-08-05,Sandstone & Shale,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0148,1,25.4591,91.7186,981.3,51.1,276.5,6.52,16.73,8.48,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,43.8,17.6,TRAIN,Meghalaya,West Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2021-09-02,Sandstone & Shale,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0149,1,25.5358,92.2221,1292.3,38.86,53.4,0.44,35.71,17.26,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,48.8,17.2,TRAIN,Meghalaya,West Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2018-08-18,Limestone Karst,Multi-Day Monsoonal Flush,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0150,1,25.4107,91.8501,1714.4,42.41,86.5,32.18,96.32,46.55,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,60.9,16.6,TRAIN,Meghalaya,West Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2022-09-15,Sandstone & Shale,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0151,1,25.3315,92.0038,867.9,49.53,169.8,4.38,11.71,5.69,38.2,26.5,35.3,1.22,4.8,38.4,1.0,0.0,42.3,14.5,TRAIN,Meghalaya,East Khasi Hills,Meghalaya Southern Escarpment & NH-6,2021-07-28,Limestone Karst,Multi-Day Monsoonal Flush,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0152,1,25.1505,92.0684,1457.3,37.45,117.6,36.17,144.33,69.76,38.2,26.5,35.3,1.22,4.8,38.4,0.0,1.0,70.0,16.1,TRAIN,Meghalaya,East Khasi Hills,Meghalaya Southern Escarpment & NH-6,2022-09-15,Limestone Karst,Cherrapunji Torrential Deluge,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0153,1,25.469,91.7948,1305.2,32.26,207.0,65.42,164.41,85.05,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,76.3,15.9,TRAIN,Meghalaya,West Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2021-08-14,Limestone Karst,Escarpment Undercutting,POSITIVE_LANDSLIDE,REAL_OBSERVATION
LS-POS-0154,1,25.2667,92.1602,1710.1,49.16,110.4,88.25,191.72,114.73,35.0,30.0,35.0,1.24,5.0,34.0,1.0,0.0,79.5,16.6,TRAIN,Meghalaya,East Jaintia Hills,Meghalaya Southern Escarpment & NH-6,2020-06-25,Limestone Karst,Multi-Day Monsoonal Flush,POSITIVE_LANDSLIDE,REAL_OBSERVATION
